Sending;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas, The;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;Colombia;Comoros;Congo, Dem. Rep.;Congo, Rep.;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt, Arab Rep.;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Fiji;Finland;France;French Polynesia;Gabon;Gambia, The;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong SAR, China;Hungary;Iceland;India;Indonesia;Iran, Islamic Rep.;Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Korea, Dem. Rep.;Korea, Rep.;Kosovo;Kuwait;Kyrgyz Republic;Lao PDR;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao SAR, China;Macedonia, FYR;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Mauritania;Mauritius;Mayotte;Mexico;Micronesia, Fed. Sts.;Moldova;Monaco;Mongolia;Montenegro;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;Netherlands Antilles;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Romania;Russian Federation;Rwanda;Samoa;San Marino;São Tomé and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovak Republic;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;St. Kitts and Nevis;St. Lucia;St. Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Vanuatu;Venezuela, RB;Vietnam;Virgin Islands (U.S.);West Bank and Gaza;Yemen, Rep.;Zambia;Zimbabwe;Total
Australia;6.683376789;2.000327349;1.95482707;;;0.000220626;0.017060192;8.792398453;2.219080925;;0;106.5728226;0.454440087;;;85.33744049;0.333939523;0.594165444;140.4312439;0.168830827;0.020056237;;0.064776577;1.391445518;52.35198593;1.118166208;38.76041412;;4.243050575;0.005081903;0.504716337;22.58935547;0.104790621;;0.034642592;;;;;0.151139289;2107.264404;15.65970421;;;;1.758787394;0.248944476;136.3429871;;16.85463142;80.99214935;53.54976273;0.302409828;0.004565091;0.347145438;4.46314764;256.2527466;33.96012497;;;5.820641518;8.298371315;;55.11719513;25.86333275;287.7025146;;;0.35472998;0.501418829;506.3559265;0.974386454;;71.85179901;;0.089138247;;2.274338245;0.189601377;0.009704198;0.55749917;0.183022201;1.060339451;47.60643005;117.2711334;0.512411118;1388.049683;224.6199493;30.00989151;12.20925236;64.0098114;;13.32453728;489.8329773;2.209678173;166.7235718;29.41885376;0.040613022;42.70549011;;;382.4619751;;;1.353828192;3.76263833;18.22954559;1085.324829;0.241572246;4.684450626;;;11.97034836;5.97257328;3.389006853;52.58996582;;0.165026933;97.50827026;0.537461102;0.115294628;16.44077301;;;40.39651489;;4.972220421;;2.089640379;;2.914286375;0;3.958756208;0.155924827;;1.124462605;48.56214142;169.3834534;;;689.4813232;1.363355279;0.020311154;87.7032547;;19.86584663;3.271580935;76.2949295;;0.703579843;5.461936474;0.8397277;21.69177437;862.1623535;141.3986053;33.66741943;;;23.61219978;9.989805222;0.438683629;21.87966156;;0.003526131;7.766213417;1.027025104;0;6.662665367;1.611263514;;18.2022953;33.01918411;1.047042012;;177.531189;117.0681458;278.7932739;0.03783891;0.019075524;0.041804422;42.25825119;0.001837419;0.118513003;22.96735764;110.8735046;23.07874107;0.732385933;1.379048467;214.3523712;;0.206015006;15.35301781;0.437473387;2.201412916;8.874124527;;;;6.542800903;18.33124352;;2152.354248;152.3733368;3.364672184;;7.53819561;0.5213269;880.9172363;;;0.800710738;2.229461908;;15049.43869
Austria;0;1.861219764;1.162126303;;;0;0;0.731517732;1.160226226;;8.117610931;0;0.288132668;;;7.680478573;0;0.226931944;44.02921295;0;0;;0;0;218.1129761;0;13.33871555;;11.41601658;0;0;0.623111784;0;;0;;;;;0.005822433;64.71279907;0;;;;0;0;97.12005615;;0.222288683;275.1135254;6.664940357;0;0;0;0;76.42232513;0;;;0.4931961;0;;0;4.405633926;87.07352448;;;0;0.807380915;781.7287598;0;;2.071633816;;0;;0;0;0;0;0;0;0;185.1919861;0.144718423;72.84873962;3.955627441;15.69527245;1.23869586;0.725280762;;2.859635353;64.71554565;0;9.065509796;3.394236803;0;0;;;10.04631329;;;0;0;1.460661054;17.3086586;0;0;;;1.65624404;19.0848732;0;18.50982094;;0;0;0;0;0.027291389;;;0;;1.807341933;;1.31723845;;0;0;2.834243536;0;;0;0;12.1589365;;;0.457708657;0;0;103.5657654;;3.984261036;0;10.26351166;;0;0;0;3.094165087;68.10703278;170.5432281;2.207506895;;;78.11008453;4.369573593;0;0;;0;0.423329532;0;1846.207642;0;0;;77.70726013;73.15989685;0;;3.430588961;20.29832268;0;0;0;0;0.910121322;0;0;9.461932182;117.006897;5.694315434;0;0;18.51929665;;0;0;0;9.783413887;35.87714386;;;;0;4.923806667;;15.96704388;17.97252464;0;;0;0;14.35168457;;;0.091491632;0;;4868.126584
Azerbaijan;0;0;0;;;0;0;0;62.48114395;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;4.684685707;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;;;0;23.16511536;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;8.998361588;;0;0;0;;0;0;0;;;0;0;;99.3293066
Bahamas, The;0;0;0;;;0;0.003623638;0.004814056;0;;0.216647103;0.099211194;0;;;0;0.076917462;0;0.408964664;0.018854924;0;;0;0;0;0;0.151439756;;0;0;0;0;0;;0;;;;;0;0.586798251;0.061655734;;;;0.24361077;0;0;;0;0;0.162079588;0;0.015414145;0.244508684;0.032017704;0;0;;;0;0;;0;0;1.437458754;;;0;0;0.778799713;0.014120973;;0.025347197;;0.019537902;;0.071868584;0;0;0.513372958;29.16676903;0.058092523;0.012132794;0;0;1.29122889;0;0;0;0.062635534;;0.012463999;0.176813155;6.872719765;0.126559302;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0.138562128;;0;;0;0;0;0;;0;0;0.050441701;;;0.024521375;0.009327037;0;2.033730507;;0.04018598;0;0;;0.043197632;0;0;0.092315674;0.694491029;0.017180437;0.013733659;;;0.030301286;0.011199762;0;0;;0;0;0;0;0;0;;0;0;0;;0.103938214;0.328938991;0.026837561;0.014904154;0.039438765;0.017294053;0;0;0;0.068100579;1.10102284;0;0;0;0.022571163;;0;0;0.075105809;0;0.003614839;;;;0;0;;2.782158136;7.410313129;0;;0;0.005315739;0;;;0;0;;58.16522092
Bahrain;0;0;3.223063231;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0.075542666;0;0;0;187.7508392;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;759.6213989;0;32.50971222;0.433743745;0;;0;0;0;0;2.058463573;0;0;;;0;;;0;0;0;2.871973276;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;4.655186653;0;;0;0;0;;;0;0;0;0;;0;1.762031794;160.8741913;;0;0;0;0;137.984726;0;0;;;0;0;0;0;;0;8.566282272;0;0;0;0;;0;0;0;;0;0;0;0;0;0;3.720935345;0;0;0;0;2.767007113;0;0;0;;0;0;0;2.287981033;0;;;;0;0;;0;0;0;;0;0;0;;;1.635745287;0;;1312.798824
Bangladesh;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;4082.029541;0;0;0;0;;0;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;40.47155762;;0;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;;0;0;0;;0;0;0;;;0;0;;4122.501099
Barbados;0;0;0;;;0;0;0;0;;0.114822589;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0.200171769;0;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0.560722768;;0;0;0;2.375138998;0;0;0;0;0;3.083804131;0;0;0;0;;0;0;1.442839384;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;3.048006058;3.790090084;0;0;0;0;0;0;0;0;0;;0;0;0.562678456;0;0;;;;0;0;;6.866125107;2.699922562;0;;0;0;0;;;0;0;;24.74432191
Belarus;0;0;0;;;0;0;0;9.572860718;;0;0;4.687128544;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;1.738633156;11.00179482;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0.031199647;0;;;0;;;0;0;3.350448608;0;0;0;;;11.79896259;0;0;0;;0;0;0;0;0;;;0;;0;;5.503248692;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;483.8136902;0;;;0;315.2312012;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;132.837265;;0;0;0;;0;0;0;;;0;0;;979.5664331
Belgium;0.327017784;1.442205667;33.59197998;;;0.001286768;0.001403025;1.140875936;2.229356289;;5.535739422;20.47958946;0.160373226;;;5.094222069;0.026564457;0.219450042;0;0.023726329;0.418904603;;0.03228822;1.610427737;0.083022699;0.027186662;20.16975212;;3.80424428;0.117243014;2.032132626;1.10353899;1.618882775;;0.563008368;;;;;0.025498724;110.7620316;8.25151062;;;;0.857285559;1.090559125;0.078768663;;0.183765963;17.13682175;18.52832413;0.345399767;0.034067098;4.816802502;4.428735256;16.26016998;1.176616311;;;3.020760298;1.557556868;;0.020809578;9.472862244;1958.329834;;;0.371636331;0.499962777;341.6702576;0.959652245;;7.787565231;;0.004545676;;4.436162949;0.404085994;0.067805313;0.080941662;3.39630127;0.624533474;1.100062966;34.69176483;0.178157434;97.64303589;12.54248333;5.478846073;0.415327251;4.036618233;;4.985342979;269.3946533;0.675110698;18.0687027;3.816126347;0.016175926;2.776134014;;;28.50683022;;;0.365069538;0.496597469;5.642977715;50.18496704;0.024823507;0.84684211;;;7.052646637;355.010437;0.07275486;0.05492061;;0.014096119;0.501458168;0.004573749;0.438222259;0.052806247;;;6.306156158;;2.912510633;;1.036099434;;0.459954649;0;409.7852478;0.069831602;;0.036700737;2.481538296;226.5837555;;;0.569798827;0.344811112;0.310543388;53.02295685;;7.094621658;0.020809561;28.63734818;;0.488355547;0.008851862;0.528654695;6.49387598;47.00055313;95.09329224;46.75926208;;;29.38871002;16.31225967;16.23219109;0.004745707;;0.007724583;0.322504312;6.399816513;0;0.217552528;0.358401269;;3.9201653;0.092735536;0.002122071;;4.877346516;280.4223938;2.652150631;0;0.005235894;0.001180525;0.507465661;0.012194469;0.029780686;11.98757172;43.56055069;7.52832222;0.19743979;0.1714883;26.23501587;;2.540236712;0.004362765;0.026784677;39.05656815;20.91728592;;;;1.060385704;2.234784365;;45.66975403;28.92924118;0.140739188;;0.059360359;0.205915883;37.1920929;;;0.053466484;0.125048384;;5089.33324
Belize;0;0;0;;;0;0.000654238;0.003072851;0;;0.049675502;0.066266946;0;;;0.003062578;0.010985851;0;0.119671464;0;0;;0;0.050124072;0;0.002336651;0.03832639;;0;0;0;0;0;;0.000961463;;;;;5.7922E-05;6.815391064;0.045968745;;;;0.340739578;0;0.011555791;;0.000984688;0.021286039;0.051076107;0;0.00088613;0.051181752;0.005093819;0.012216004;18.21923828;;;0.003067289;0.00069442;;0.001701752;0;0.121003143;;;0;0.011492038;0.320099443;0.001715512;;0.000668071;;0.007672898;;74.80696869;0.000648918;0.001244936;0.064703673;0.050280865;22.36819649;0.077423953;0;0;1.576704979;0.012593195;0.020234877;0.00052595;0.009486906;;0.003434254;0.033260886;0.743063629;0.033194982;0;0;0.002315875;;;0.112042814;;;0;0;0;0.425949901;0;0;;;0;0;0;0;;0.001008445;0.006001133;0;0;0;;;0.00212428;;5.42433691;;0;;0.008497609;0;0;0;;0;0.004556192;0.026637686;;;0.005619824;0.401929975;0.006354981;1.352705836;;0.0168371;0;0.037014432;;0.15761435;0;0.127196074;0.032231934;0.093287066;0.002802101;0.009143062;;;0;0.00189833;0;0;;0;0.001812818;0;0;0;0.000721665;;0;0;0;;0.025903143;0.128810912;0.055348631;0;0.0008994;0.002994782;0;0;0;0.00307706;0.104410797;0;0;0;0;;0;0;0.011144338;0;0;;;;0.001836374;0;;0.634721339;4.449681759;0;;0;0.002038543;0.003819812;;;0;0;;139.876223
